"CARD_ID","CUSTOMER_ID","CARD_TYPE","CARD_NUMBER","EXPIRY_DATE","IS_VALID","SECURITY_CODE"
620696,737486,"Visa(Credit)",1306359080,15-SEP-15,"Y",7624
620727,13974,"Paypal",1140882513,15-AUG-17,"Y",2313
620732,938232,"MasterCard",1141533207,13-FEB-14,"Y",3583
620762,476941,"MasterCard",1183839988,20-MAR-14,"Y",3764
620766,198270,"Visa(Debit)",1357730145,01-SEP-13,"Y",1809
620796,125850,"Voucher",1249360500,18-NOV-14,"Y",1956
620823,967678,"Visa(Debit)",1119129145,18-DEC-14,"Y",6761
620859,48255,"Amex",1242484017,21-JUN-14,"Y",6729
620884,166532,"Visa(Debit)",1340097728,19-JUN-17,"Y",3192
621070,734918,"Paypal",1223992976,16-JUL-18,"Y",3120
621087,819816,"Amex",1273521903,29-JUL-15,"Y",2647
621119,220949,"Visa(Debit)",1239572276,16-JAN-16,"Y",4204
621247,279293,"Paypal",1311437327,30-SEP-13,"Y",3423
621275,753803,"MasterCard",1195770437,14-NOV-14,"N",6077
621364,614404,"MasterCard",1143200629,26-NOV-14,"Y",7181
621406,673015,"Visa(Credit)",1389980155,06-APR-14,"Y",8603
621422,682586,"Amex",1265376185,27-OCT-14,"Y",2169
621435,236890,"MasterCard",1361548846,10-JAN-15,"Y",3854
621483,632813,"Visa(Credit)",1346067419,02-SEP-13,"Y",7451
621562,59485,"Visa(Debit)",1319969236,14-SEP-14,"Y",9764
621634,615560,"Visa(Credit)",1122247031,25-MAY-17,"Y",6775
621651,789397,"Cheque",1195648693,04-AUG-16,"Y",2973
621662,397341,"Voucher",1240739838,17-JUL-14,"Y",1934
621705,198167,"Amex",1254017300,14-AUG-15,"Y",9252
621706,715578,"MasterCard",1400367471,15-NOV-16,"Y",3591
621783,866364,"Amex",1333459752,15-MAY-17,"Y",6592
621789,521447,"Amex",1220848169,20-DEC-14,"Y",7009
621790,667567,"Visa(Credit)",1373787037,26-NOV-15,"Y",5157
621830,284082,"Cheque",1179779820,31-JUL-16,"Y",9004
621834,742049,"Paypal",1204735112,20-MAR-15,"Y",1704
621858,74853,"MasterCard",1265998347,23-OCT-17,"Y",1779
621882,372122,"Amex",1261581146,26-JAN-15,"Y",4666
621885,478980,"Amex",1240066440,14-AUG-16,"Y",5704
621894,778672,"Voucher",1332750511,29-MAY-16,"Y",5415
621971,884114,"Visa(Debit)",1197365975,17-DEC-13,"Y",3783
621981,102224,"Visa(Debit)",1371533204,06-DEC-14,"Y",1364
621996,723617,"Visa(Debit)",1362940046,17-SEP-14,"Y",8814
622414,474332,"Amex",1308878573,06-MAR-16,"N",4213
622439,759915,"Paypal",1332377622,28-JUL-16,"Y",6590
622453,143689,"Visa(Credit)",1264316755,15-FEB-14,"Y",2283
622505,686321,"Paypal",1301994224,05-JUL-14,"Y",4936
622567,987283,"MasterCard",1171704016,24-AUG-13,"Y",3200
622602,22774,"MasterCard",1263354574,07-MAR-16,"Y",7934
622604,434689,"Cheque",1297928923,21-DEC-14,"Y",2267
622635,297265,"Voucher",1312557556,12-JUN-18,"Y",3212
622646,101306,"Visa(Debit)",1202993813,21-OCT-14,"Y",8773
622666,695032,"Cheque",1180978738,05-JUL-17,"Y",1338
622686,682021,"Cheque",1204953094,10-FEB-16,"Y",3518
622691,917182,"Amex",1246740580,29-JUN-14,"Y",1772
622710,560403,"Paypal",1132919028,07-OCT-13,"Y",2020
622755,663073,"Visa(Debit)",1310997157,19-JAN-16,"Y",3237
622907,740162,"MasterCard",1349092937,18-JUL-14,"Y",1665
623114,868326,"Visa(Debit)",1130975718,22-JAN-16,"Y",8950
623141,535450,"Visa(Debit)",1353236773,11-JUN-17,"Y",7405
623152,628687,"Voucher",1245643399,05-JUN-17,"Y",8671
623169,460777,"Paypal",1382650312,16-FEB-17,"Y",1768
623172,789219,"Paypal",1289833983,06-DEC-16,"Y",2311
623427,949617,"Visa(Debit)",1395774360,30-JUL-16,"Y",1944
623450,105087,"Amex",1177668390,07-OCT-17,"Y",6966
623462,339980,"Visa(Debit)",1309990118,11-MAR-14,"Y",8054
623533,354078,"Cheque",1247039676,17-JUL-17,"Y",4068
623600,686736,"Voucher",1185162255,12-SEP-15,"Y",6935
623622,701946,"Visa(Debit)",1178048844,01-JAN-18,"Y",7020
623669,502374,"Voucher",1160356395,19-MAY-18,"Y",7131
623675,555726,"Paypal",1298344863,27-MAY-15,"Y",3327
623686,910649,"Visa(Credit)",1161909389,30-SEP-14,"Y",4061
